IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.117.48,8080,8080,false,SIN,Asia Pacific,Singapore,226,0.29
47.236.172.95,2095,2095,false,SIN,Asia Pacific,Singapore,222,0.29
47.236.232.148,2083,2083,true,SIN,Asia Pacific,Singapore,166,0.28
47.236.5.223,2086,2086,false,SIN,Asia Pacific,Singapore,167,0.28
47.236.205.188,2086,2086,false,SIN,Asia Pacific,Singapore,234,0.27
47.236.83.239,2052,2052,false,SIN,Asia Pacific,Singapore,162,0.27
47.236.169.15,2082,2082,false,SIN,Asia Pacific,Singapore,167,0.27
47.236.144.196,2086,2086,false,SIN,Asia Pacific,Singapore,209,0.26
47.236.144.196,8880,8880,false,SIN,Asia Pacific,Singapore,260,0.25
47.236.232.148,2095,2095,false,SIN,Asia Pacific,Singapore,207,0.23
47.236.144.48,2095,2095,false,SIN,Asia Pacific,Singapore,162,0.21
47.236.9.152,2052,2052,false,SIN,Asia Pacific,Singapore,151,0.21
8.219.170.232,2052,2052,false,SIN,Asia Pacific,Singapore,176,0.20
47.236.165.25,2082,2082,false,SIN,Asia Pacific,Singapore,206,0.00
47.236.80.110,8880,8880,false,SIN,Asia Pacific,Singapore,205,0.00
47.236.202.91,2082,2082,false,SIN,Asia Pacific,Singapore,162,0.00
47.236.158.158,80,80,false,HKG,Asia Pacific,Hong Kong,0,0.00
47.236.17.193,2087,2087,true,SIN,Asia Pacific,Singapore,162,0.00
47.236.166.131,80,80,false,HKG,Asia Pacific,Hong Kong,0,0.00
47.236.5.223,80,80,false,HKG,Asia Pacific,Hong Kong,0,0.00
47.236.17.193,2052,2052,false,SIN,Asia Pacific,Singapore,166,0.00
103.75.188.126,443,443,true,HKG,Asia Pacific,Hong Kong,0,0.00
47.236.5.223,2052,2052,false,SIN,Asia Pacific,Singapore,222,0.00
8.219.164.237,443,443,true,HKG,Asia Pacific,Hong Kong,0,0.00
47.236.164.215,443,443,true,HKG,Asia Pacific,Hong Kong,0,0.00
13.228.155.72,443,443,true,HKG,Asia Pacific,Hong Kong,0,0.00
